１	いち	LHL
１	ひと	LHH
１０００円	せんえん	LHHHH
１０月	じゅうがつ	LHHHL
１０進	じっしん	LHHHH
１０進法	じっしんほう	LHHHHHH
１０代	じゅうだい	HLLLL
１０日	とおか	LHHH
１１０番	ひゃくとおばん	LHHLLLL
１１９番	ひゃくじゅうきゅうばん	LHHHHLLLL
１１月	じゅういちがつ	LHHHHHL
１２月	じゅうにがつ	LHHHHL
１５日	じゅうごにち	HLLLLL
１６進法	じゅうろくしんほう	LHHHHLLLL
１８禁	じゅうはちきん	LHHHHHH
１つ	ひとつ	LHLL
１月	いちがつ	LHHHL
１勝	いっしょう	LHHHH
１人	いちにん	LHLLL
１人	ひとり	LHLL
１切れ	ひときれ	LHLLL
１打	いちだ	LHLL
１対１	いちたいいち	LHHLLLL
１対１	いったいいち	LHHLLLL
１等	いっとう	LHHHH
１等国	いっとうこく	LHHLLLL
１等車	いっとうしゃ	LHHLLL
１等賞	いっとうしょう	LHHLLLL
１等親	いっとうしん	LHHLLLL
１等星	いっとうせい	LHHLLLL
１等地	いっとうち	LHHLLL
１等兵	いっとうへい	LHHLLLL
１日	いちじつ	LHHHH
１日	いちにち	LHHHL
１日	ついたち	LHHHL
１日	ひとえ	LHLL
１日	ひとひ	LHLL
１枚	いちまい	LHLLL
１面	いちめん	LHHHH
２	に	HL
２	ふた	LHH
２	アル	HLL
２０世紀	にじっせいき	LHHHLLL
２０世紀	にじゅっせいき	LHHHLLL
２０日	はつか	LHHH
２４時間	にじゅうよじかん	HLLLLLLL
２つ	ふたつ	LHHH
２月	にがつ	LHHL
２項式	にこうしき	LHLLLL
２時	にじ	HLL
２重衝突	にじゅうしょうとつ	LHHHLLLL
２組	ふたくみ	LHLLL
２大政党制	にだいせいとうせい	LHHHHHHHHH
２度と	にどと	LHLL
２度寝	にどね	LHHH
２等	にとう	LHHH
２等車	にとうしゃ	LHLLL
２等親	にとうしん	LHLLLL
２等分	にとうぶん	LHHHHH
２等分線	にとうぶんせん	LHHHLLLL
２等兵	にとうへい	LHLLLL
２等辺３角形	にとうへんさんかくけい	LHHHHHHHLLLL
２等辺３角形	にとうへんさんかっけい	LHHHHHHHLLLL
２日	ふつか	LHHH
２倍	にばい	LHHH
２番目	にばんめ	LHHHL
２枚	にまい	HLLL
３	さん	LHH
３０日	さんじゅうにち	LHHLLLL
３Ｄ	さんディー	LHHLL
３Ｄ映像	さんディーえいぞう	LHHHHLLLL
３つ	みっつ	LHHL
３つ星	みつぼし	LHLLL
３角形	さんかくけい	LHHLLLL
３角形	さんかっけい	LHHLLLL
３月	さんがつ	HLLLL
３時	さんじ	HLLL
３次元	さんじげん	LHHLLL
３等	さんとう	LHHLL
３等親	さんとうしん	LHHLLLL
３日	みっか	LHHH
３部	さんぶ	HLLL
３枚	さんまい	HLLLL
４	し	HL
４	よん	HLL
４ＷＤ	よんダブリューディー	LHHHHHHLL
４つ	よっつ	LHHL
４つ	よつ	LHL
４月	しがつ	LHHL
４月馬鹿	しがつばか	LHHHLL
４日	よっか	LHHH
５	ご	HL
５５年体制	ごじゅうごねんたいせい	LHHHHHHLLLL
５つ	いつつ	LHLL
５月	ごがつ	HLLL
５日	いつか	LHHH
６	ろく	LHL
６つ	むっつ	LHHL
６月	ろくがつ	LHHHL
６日	むいか	LHHH
７	しち	LHL
７	なな	HLL
７つ	ななつ	LHLL
７月	しちがつ	LHHHL
７日	なぬか	LHHH
７日	なのか	LHHH
８	はち	LHL
８つ	やっつ	LHHL
８の字	はちのじ	LHHLL
８月	はちがつ	LHHHL
８日	ようか	LHHH
９	きゅう	HLL
９	く	HL
９	ここの	LHLL
９	この	LHH
９つ	ここのつ	LHLLL
９月	くがつ	HLLL
９日	ここぬか	LHHHL
９日	ここのか	LHHHH
Ａ	エー	HLL
Ａ．Ｄ．	エーディー	LHHLL
Ａ４判	エーよんばん	LHHHHHH
ＡＡ会議	エーエーかいぎ	LHHHHLLL
ＡＢＣ	エービーシー	LHHHHLL
ＡＢＭ	エービーエム	LHHHHLL
ＡＢＯ式血液型	エービーオーしきけつえきがた	LHHHHHHHHHHHHHH
ＡＣ	エーシー	LHHLL
ＡＤ	エーディー	LHHLL
ＡＩ	エーアイ	LHHLL
ＡＩＤＳ	エイズ	HLLL
ＡＬＳ	エーエルエス	LHHHHLL
ＡＮＤ回路	アンドかいろ	LHHHLLL
ＡＳＣＩＩ	アスキー	HLLLL
ＡＴＭ	エーティーエム	LHHHHLL
ＡＴＰ	エーティーピー	LHHHHLL
ＡＶ	エーブイ	LHHLL
ＡＷＡＣＳ	エーワックス	LHHLLLL
Ａ型肝炎	エーがたかんえん	LHHHHLLLL
Ｂ	ビー	HLL
Ｂ．Ｃ．	ビーシー	LHHLL
Ｂ５判	ビーごはん	LHHHHH
ＢＢＣ	ビービーシー	LHHHHLL
ＢＢＳ	ビービーエス	LHHHHLL
ＢＣ	ビーシー	LHHLL
ＢＣＧ	ビーシージー	LHHHHLL
ＢＣＧ陽転	ビーシージーようてん	LHHHHHHLLLL
ＢＧＭ	ビージーエム	LHHHHLL
ＢＬ	ビーエル	LHHLL
ＢＯＤ	ビーオーディー	LHHHHLL
Ｂリンパ球	ビーリンパきゅう	LHHHHLLL
Ｂ型肝炎	ビーがたかんえん	LHHHHLLLL
Ｂ五判	ビーごはん	LHHHHH
Ｂ細胞	ビーさいぼう	LHHLLLL
Ｂ淋巴球	ビーリンパきゅう	LHHHHLLL
Ｃ	シー	HLL
ＣＡＤ	キャド	HLL
ＣＡＩ	シーエーアイ	LHHHHLL
ＣＡＭ	キャム	HLL
ＣＡＭ植物	カムしょくぶつ	LHHHLLL
ＣＡＴＶ	シーエーティーブイ	LHHHHHHLL
ＣＤ	シーディー	LHHLL
ＣＤ－ＲＯＭ	シーディーロム	LHHHHLL
ＣＤＲＯＭ	シーディーロム	LHHHHLL
ＣＦ	シーエフ	LHHLL
ＣＧ	シージー	LHHLL
ＣＧＳ単位系	シージーエスたんいけい	LHHHHHHHHHHH
ＣＩＳＣ	シスク	HLLL
ＣＭ	シーエム	LHHHH
ＣＯＤ	シーオーディー	LHHHHLL
ＣＴ	シーティー	LHHLL
ＣＴＣ	シーティーシー	LHHHHLL
ＣＴＳ	シーティーエス	LHHLLLL
Ｃ型肝炎	シーがたかんえん	LHHHHLLLL
Ｃ言語	シーげんご	LHHLLL
Ｄ	ディー	HLL
ＤＡＴ	ダット	HLLL
ＤＡＴ	ディーエーティー	LHHHHLL
ＤＤＴ	ディーディーティー	LHHHHLL
ＤＩＮＫＳ	ディンクス	HLLLL
ＤＪ	ディージェー	LHHLL
ＤＭ	ディーエム	LHHLL
ＤＮＡ	ディーエヌエー	LHHHHLL
ＤＮＡウイルス	ディーエヌエーウイルス	LHHHHHHHLLL
ＤＯＳ	ドス	HLL
ＤＶＤ	ディーブイディー	LHHHHLL
Ｅ	イー	HLL
ＥＣＣＳ	イーシーシーエス	LHHHHHHLL
ＥＳＰ	イーエスピー	LHHHHLL
Ｆ	エフ	HLL
ＦＭ	エフエム	LHHHH
Ｆナンバー	エフナンバー	LHHLLLL
Ｇ	ジー	HLL
ＧＡＢＡ	ギャバ	HLL
ＧＡＴＴ	ガット	HLLL
ＧＢ理論	ジービーりろん	LHHHHLLL
ＧＤＰ	ジーディーピー	LHHHHLL
ＧＩ	ジーアイ	LHHLL
ＧＩカット	ジーアイカット	LHHHHLLL
ＧＮＰ	ジーエヌピー	LHHHHLL
ＧＵＩ	ジーユーアイ	LHHHHLL
Ｇペン	ジーペン	LHHHH
Ｇメン	ジーメン	HLLLL
Ｈ	エイチ	HLLL
Ｈ	エッチ	HLLL
ＨＣＦＣ	エッチシーエフシー	LHHHHHHHLL
ＨＥＩＢ	ヒーブ	HLLL
ＨＩＶ	エッチアイブイ	LHHHHHLL
ＨＬＡ抗原	エッチエルエーこうげん	LHHHHHHHLLLL
ＨＲ図	エッチアールず	LHHHHHLL
Ｈ形鋼	エッチがたこう	LHHHHHHH
Ｉ	アイ	HLL
ＩＣ	アイシー	LHHLL
ＩＣＢＭ	アイシービーエム	LHHHHHHLL
ＩＣカード	アイシーカード	LHHHHLLL
ＩＤカード	あいでぃーカード	LHHHHLLL
ＩＭＦ	アイエムエフ	LHHHHLL
ＩＯ	アイオー	LHHLL
ＩＯＣ	アイオーシー	LHHHHLL
ＩＰＣＣ	アイピーシーシー	LHHHHHHLL
ＩＲＢＭ	アイアールビーエム	LHHHHHHHLL
